stock_id,model_score,theme_seed,core_growth,tech_attack,tech_subsector,ret_3,ret_5,ret_10,ret_20,vol_20,ma5_gap,ma20_gap,ma60_gap,drawdown_20,drawdown_60,support_gap_20,rsi14,oversold_rebound,resistance_score,resistance_trap,breakdown,tech_momentum_score,distribution_risk,distribution_trap,theme_similarity,tech_regime,tech_subsector_strength,adjusted_score,rt_price,rt_pct_chg,rt_amount,rt_turnover,rt_volume_ratio,rt_breakdown,realtime_score,growth_bucket,target_growth_weight
603501,0.8946186304092407,False,True,True,chip_design,0.03326116906120836,0.040634291377601536,0.04916067146282959,0.1353806228373701,0.03418182466357433,0.021858029857718477,0.04225603764033206,0.02068755457843147,-0.01823281907433397,-0.1322314049586777,0.138211382113821,0.656020716443677,0.0,0.35,False,False,0.7664196834471657,0.0,False,0.6262665101718012,0.5650673365916669,0.528779346219322,5.619727680831436,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.82
002049,0.9770687818527222,False,True,True,chip_design,0.02739212007504691,0.06675324675324674,0.04304761904761906,0.17527543282300767,0.0349895855066925,0.025365756229090715,0.056564941955815545,0.11289503099278554,-0.005569007263922394,-0.005569007263922394,0.15690140845070424,0.5967318354245696,0.0,0.55,False,False,1.139561297094983,0.0,False,0.5622242612556406,0.5650673365916669,0.528779346219322,5.226629236853978,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.82
601138,0.22557203471660614,True,True,True,ai_hardware,-0.0029325513196480457,0.03217972070431096,0.05919003115264812,0.11129269488478527,0.04891102747547692,0.0005591359877578133,0.019329790662639363,0.16736193370070923,-0.08108108108108104,-0.08108108108108104,0.07936507936507939,0.5294282511210762,1.0,0.4,False,False,0.5859925575595244,0.0,False,0.6286601577906287,0.5650673365916669,0.3859608777273562,4.65809349707449,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.82
688396,0.18424642086029053,False,True,True,foundry_material,-0.02343750000000002,0.024254342838413656,0.05842506350550382,0.2176115332164427,0.039850565385785276,-0.006327705173455479,0.061102527970662665,0.18608954185314583,-0.053173761551280126,-0.053173761551280126,0.201923076923077,0.6188051595383571,1.0,0.6,False,False,0.7896685872913675,0.15,False,0.5852860188062429,0.5650673365916669,0.8046805912420704,4.520684711912887,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.82
600958,1.8830536603927612,False,False,False,non_tech,-0.02738336713995943,0.004188481675392653,0.03340517241379309,0.026766595289079317,0.02315299617206138,-0.009502168973352503,0.004188481675392803,0.009013432469399691,-0.03714859437751007,-0.060724779627815834,0.03340517241379309,0.5420875420875422,0.0,0.5,False,False,-0.04538941770131709,0.0,False,0.5970590089000687,0.5650673365916669,0.0,3.4521835280043645,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
601901,1.9212795495986938,False,False,False,non_tech,0.005698005698005687,0.010014306151645308,-0.01944444444444441,0.01146131805157603,0.009997218573139692,0.005125284738040945,-0.006123741817413864,-0.013713939789052124,-0.031550068587105566,-0.08549222797927467,0.017291066282420837,0.3880597014925376,1.0,0.0,False,False,0.08820859483650467,0.0,False,0.51475877616557,0.5650673365916669,0.0,3.373554865057308,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
000100,0.9893503189086914,False,False,False,non_tech,0.025761124121779912,0.04784688995215305,0.03301886792452832,0.016241299303944325,0.029507809254463276,0.011080332409972351,0.01789449221473375,-0.014844804318488532,-0.039473684210526244,-0.11515151515151516,0.04784688995215305,0.49068322981366463,0.0,0.0,False,False,0.7863255943748771,0.0,False,0.63111589302257,0.5650673365916669,0.0,3.324208864688842,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
002475,0.6980344653129578,False,False,False,non_tech,0.017631542412883557,0.003010399562123581,-0.029139072847682187,0.12096650864046496,0.03844723494654405,0.024057671351532525,0.02355717537318657,0.25836549823891763,-0.07554546601084626,-0.07554546601084626,0.08592592592592584,0.5623368146214098,1.0,0.15,False,False,0.09003238861105813,0.0,False,0.6456108781710204,0.5650673365916669,0.0,3.323079287360483,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
601939,1.7518807649612427,False,False,False,non_tech,0.0060422960725075425,0.025667351129363403,0.03416149068322975,0.014213197969543123,0.011076023239704847,0.008072653884964668,0.022884349562279024,0.06385999787015033,-0.005970149253731333,-0.005970149253731333,0.04279749478079324,0.5693430656934306,0.0,0.0,False,False,0.727210024772321,0.0,False,0.5475033007299696,0.5650673365916669,0.0,3.2818944019878176,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
601111,1.288798451423645,False,False,False,non_tech,0.02686567164179108,0.03148425787106453,-0.04444444444444444,-0.03098591549295774,0.019226635150508053,0.016548463356973894,0.0021120093219722295,-0.03271159433873842,-0.04444444444444444,-0.19906868451688003,0.03770739064856714,0.539877300613497,1.0,0.0,False,False,0.32292117006491977,0.0,False,0.5657973589092837,0.5650673365916669,0.0,3.1946344868226455,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
688271,0.9760233163833618,False,False,False,non_tech,0.024136088350552205,0.033153638814016284,-0.004415584415584397,-0.00896319917262767,0.022445350101421117,0.009268523882247663,0.010061970494841619,-0.013328375711466122,-0.04174999999999998,-0.1262158054711245,0.05090477060866391,0.5350821744627057,0.0,0.0,False,False,0.5568494015188861,0.0,False,0.6211170644941233,0.5650673365916669,0.0,3.193404732406504,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
688169,0.7677087187767029,False,False,False,non_tech,-0.005533596837944726,0.03114754098360654,0.040701522170747795,0.06881903143585381,0.02933353615573109,-0.0178167111694071,0.04075318099839494,0.01193460768094285,-0.04334600760456282,-0.17236842105263162,0.0939130434782608,0.599678825418674,0.0,0.25,False,False,0.7473528538669059,0.0,False,0.6393915777983497,0.5650673365916669,0.0,2.998900932221321,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
002920,0.6338613033294678,False,False,False,non_tech,0.04332023575638506,0.013164170561862053,0.010946126023224817,0.009600760456273807,0.03311357040507144,0.03106494515095618,0.014460915412240961,-0.022461740312796803,-0.04229035166816954,-0.13732494054600264,0.10084991708126033,0.543859649122807,0.0,0.0,False,False,0.5055258274632236,0.0,False,0.6482152750373561,0.5650673365916669,0.0,2.9964056803696657,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
601398,2.1753172874450684,False,False,False,non_tech,-0.012396694214876049,-0.009668508287292767,-0.016522477764385805,-0.037172924425500936,0.00835376461825612,-0.000836120401337755,-0.013621161041638973,-0.0014667238482684458,-0.03209204276020027,-0.037172924425500936,0.005610098176718035,0.4202273560465804,1.0,0.5,False,False,0.05460499824266545,0.0,False,0.49294390118086684,0.5650673365916669,0.0,2.8572759517080044,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
601988,1.8347049951553345,False,False,False,non_tech,0.0017152658662092845,0.008635578583765223,0.02998236331569667,-0.015177065767284954,0.009306894750507284,0.00793924749741105,0.013097406540029607,0.03849915533031039,0.0,-0.018487394957983086,0.02998236331569667,0.5322580645161294,0.0,0.25,False,False,0.7143157906088151,0.0,False,0.5264784549299958,0.5650673365916669,0.0,2.8301600326028713,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
300394,0.6524409055709839,True,True,True,ai_hardware,0.035057040552918625,-0.04136353119617474,0.11871118711187115,0.07572479446127213,0.05371781313471629,0.027018094687267548,0.07253179629661598,0.10693822785987493,-0.07007481296758102,-0.07007481296758102,0.22262295081967215,0.6747191338261831,0.0,0.6,False,False,0.39406810384515173,0.0,False,0.5235026367323806,0.5650673365916669,0.3859608777273562,2.778047178974388,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.82
601059,1.323398470878601,False,False,False,non_tech,0.0005820721769499819,0.038043478260869644,0.017159763313609612,0.02199762187871587,0.011853558595287196,-0.0026688326757947876,0.014099463158515802,0.011295446523120443,-0.010932105868814674,-0.03372681281618883,0.041818181818181935,0.5688888888888891,0.0,0.0,False,False,0.7633232227549799,0.0,False,0.5380554116843006,0.5650673365916669,0.0,2.710873662129427,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
601066,1.2000447511672974,False,False,False,non_tech,0.002260397830018075,0.0068119891008174135,-0.031031468531468584,0.022601476014760032,0.01647966900969074,-0.005651237890204575,-0.010731576716271288,-0.009870037068465103,-0.05296881674498083,-0.07393483709273188,0.03938115330520391,0.3602693602693601,1.0,0.25,False,False,0.24042590778903836,0.0,False,0.5440207218333099,0.5650673365916669,0.0,2.64768734611843,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
688041,-0.37295883893966675,False,True,True,chip_design,0.017589576547231176,0.031023102310231036,-0.08252569750367107,0.24452234881682733,0.053575250427969345,-0.0033688938798428765,-0.0018021242059790606,0.19510557594792663,-0.10327802973764283,-0.10327802973764283,0.16480238627889646,0.5700529855308742,1.0,0.15,False,False,0.11714498001302295,0.0,False,0.5245406043545064,0.5650673365916669,0.528779346219322,2.6280107616462582,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.82
002241,0.4636214077472687,False,False,False,non_tech,0.0023529411764705997,0.015091342335186539,-0.005447470817120648,0.0445443400081733,0.018480356786340534,0.006933501418216346,0.0164234302302461,0.04010254532136982,-0.02442748091603065,-0.04662439388287957,0.05619834710743789,0.582089552238806,0.0,0.0,False,False,0.35120047901564266,0.0,False,0.6149766906626625,0.5650673365916669,0.0,2.6116922432696965,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
600919,1.9223536252975464,False,False,False,non_tech,-0.013333333333333407,-0.00359066427289053,-0.014209591474245106,-0.008928571428571352,0.008367556880076015,-0.005732712289501853,-0.011884096675123452,0.019564618352163034,-0.027169149868536434,-0.027169149868536434,0.005434782608695721,0.3762376237623764,1.0,0.5,False,False,0.08058861330785608,0.0,False,0.49073700809315085,0.5650673365916669,0.0,2.5985870775599245,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.82
