ret_3,ret_5,ret_10,ret_20,vol_20,ma5_gap,ma20_gap,ma60_gap,drawdown_20,drawdown_60,support_gap_20,rsi14,oversold_rebound,resistance_score,resistance_trap,breakdown,stock_id
-0.03887399463806973,-0.015109890109890129,-0.08545918367346934,0.021949828962371725,0.033133302139946676,-0.023054283845650753,-0.039273224263375706,-0.0024995478554434777,-0.09492552385761174,-0.09492552385761174,0.02107661634861864,0.48762035763411277,1.0,0.5,False,False,000063
0.02092783505154644,0.0533985746197214,-0.00025238503861489637,-0.0788335426259244,0.03560660729089159,-0.001955172135773654,-0.023863737173610827,-0.05559043478951923,-0.12748898678414097,-0.13669252898613896,0.0533985746197214,0.5075032341526521,1.0,0.0,False,False,002028
0.0522243713733075,0.04615384615384614,0.05141090065713191,0.1877729257641921,0.029294792491672286,0.03540159878188032,0.10501726589477972,0.15698319467731006,0.0,0.0,0.23917995444191353,0.7306413301662705,0.0,1.05,True,False,002050
-0.00953846153846155,-0.005560704355885079,-0.07454307071826878,-0.10144813376179115,0.025775385080168488,-0.010877581120944021,-0.0678299878784655,-0.04259685389315482,-0.14497824402561438,-0.14497824402561438,0.0,0.2824224061252954,-0.35,0.5,False,False,300014
0.02903058579574908,0.025574786876776057,0.05165562913907292,0.20558761008199214,0.028951049728727255,0.020486851913734085,0.09359612696182744,0.13032419709968873,0.0,0.0,0.2808517502823036,0.7780938833570411,0.0,1.25,True,False,300124
0.03520719058786587,0.02423230391347823,0.18663532270038022,0.22918472137349588,0.03836110417653118,0.020272178316254535,0.10973679681638727,0.437375349639407,-0.013096474242041568,-0.013096474242041568,0.2940450989013452,0.7116435477091215,0.0,1.25,True,False,300308
0.035057040552918625,-0.04136353119617474,0.11871118711187115,0.07572479446127213,0.05371781313471629,0.027018094687267548,0.07253179629661598,0.10693822785987493,-0.07007481296758102,-0.07007481296758102,0.22262295081967215,0.6747191338261831,0.0,0.6,False,False,300394
0.07775595682928102,0.035275459098497455,0.11936823104693142,0.08985940246045698,0.04813393139059615,0.04727276411917507,0.07984380373599854,0.26571048451921747,-0.03331254871395168,-0.03331254871395168,0.18379307053545865,0.6285466440163371,0.0,0.8,True,False,300502
-0.013717026378896942,-0.022112321080412882,-0.0652727272727273,-0.06741343733702186,0.02501088230868456,-0.01073261782547826,-0.05500883459208083,0.015475256941093874,-0.12260266666666671,-0.12260266666666671,0.0,0.37207612959465336,1.0,0.5,False,False,300750
-0.030763528539659055,-0.011715797430083283,-0.002289202594429792,-0.03362897265336293,0.022159150297536068,-0.008117129418904724,-0.017397512493894075,-0.04053715243167897,-0.07954945441745881,-0.1564516129032259,0.019095869056897807,0.4720812182741115,1.0,0.5,False,False,600406
-0.0029325513196480457,0.03217972070431096,0.05919003115264812,0.11129269488478527,0.04891102747547692,0.0005591359877578133,0.019329790662639363,0.16736193370070923,-0.08108108108108104,-0.08108108108108104,0.07936507936507939,0.5294282511210762,1.0,0.4,False,False,601138
